,ZIP Code,SAFMR 0BR,SAFMR 1BR,SAFMR 2BR,SAFMR 3BR,SAFMR 4BR,Total Population,Median Age,Percent Males,Percent Females,"Percent Race, White","Percent Race, Black","Percent Race, Native or Alaskan","Percent Race, Asian","Percent Race, Native Hawaiian or Pacific Islander","Percent Race, Two or more races","Percent Race, Hispanic or Latino",Percent speak another language at home,Percent never married,Percent married,Percent divorced,Percent widowed,Percent less than high school, Percent high school graduate,Percent some college or associates,Percent college graduate,Percent graduate degree,Median income in past year,"Percent, 100 poverty status","Percent, 100 TO 149 poverty status","Percent, 150 poverty status","Total population, born in state of residence",Percent born in state of residence,RES_RATIO,State,Total Gender,Region
15606,86335,780,950,1170,1620,1870,4744,63.2,51.2,48.8,88.7,0.1,3.8,0.2,0.0,5.3,12.0,3.7,21.7,53.5,18.9,5.9,4.9,34.9,40.9,10.5,8.8,30989,12.3,10.2,77.5,1661,35.01264755480607,1.0,AZ,100.0,SW
5297,75201,1890,1990,2350,2960,3860,18078,31.4,50.8,49.2,64.4,16.9,0.6,5.9,0.1,8.7,14.5,16.7,69.1,18.3,10.9,1.6,4.1,10.5,16.0,41.0,28.4,75411,17.8,5.0,77.3,7720,42.70383892023454,1.0,TX,100.0,SW
13878,73080,690,740,910,1210,1380,10289,39.2,50.2,49.8,76.6,0.9,5.1,0.2,0.0,15.0,15.9,13.4,23.8,56.8,14.9,4.6,19.1,35.4,22.8,14.8,7.9,36445,9.4,10.2,80.4,7052,68.53921663912917,1.0,OK,100.0,SW
19268,74127,690,760,960,1260,1480,15990,40.0,48.2,51.8,51.6,28.8,6.6,0.5,0.0,9.6,7.1,5.6,35.7,38.1,20.6,5.6,14.7,31.8,30.4,14.6,8.6,26594,22.9,14.2,62.9,10945,68.4490306441526,1.0,OK,100.0,SW
19253,74103,1070,1170,1480,1950,2280,2419,35.7,76.9,23.1,57.0,25.8,4.7,0.0,0.0,12.2,7.9,13.7,49.5,18.9,29.6,2.1,17.1,30.8,26.2,14.6,11.3,45982,19.3,7.8,72.9,1341,55.43613063249276,1.0,OK,100.0,SW
8456,77030,1390,1480,1770,2330,3010,12976,32.4,46.7,53.3,53.7,13.3,0.2,22.9,0.0,8.6,11.4,36.2,43.1,46.8,6.4,3.8,1.2,3.6,13.3,33.8,48.1,61580,11.7,2.2,86.2,5198,40.05856966707768,1.0,TX,100.0,SW
15592,86314,820,1000,1230,1700,1960,40109,43.4,49.1,50.9,76.1,0.4,1.0,1.3,0.2,15.2,22.5,17.3,26.7,51.6,15.4,6.3,11.2,27.8,38.2,13.1,9.7,35779,12.8,11.3,76.0,13950,34.78022388990002,1.0,AZ,100.0,SW
5375,76051,1470,1650,1950,2580,3190,50514,39.9,51.2,48.8,70.2,5.0,0.4,7.5,0.0,12.4,19.7,22.9,28.3,55.1,12.7,3.9,5.0,16.1,21.6,36.3,21.0,58900,6.5,5.3,88.1,23368,46.2604426495625,1.0,TX,100.0,SW
13885,73102,1010,1070,1330,1770,2010,3590,34.6,72.0,28.0,51.9,19.9,4.5,4.7,0.4,16.9,10.0,16.2,57.8,14.8,26.2,1.2,14.1,29.6,28.9,15.9,11.6,33813,16.2,9.3,74.5,1881,52.39554317548747,1.0,OK,100.0,SW
9800,76528,650,650,830,1170,1410,18490,39.7,42.4,57.6,77.5,4.3,0.5,1.3,0.0,15.0,15.7,12.8,24.4,49.4,18.6,7.6,11.0,31.5,39.5,10.2,7.7,33491,10.3,8.6,81.1,12203,65.99783666846945,1.0,TX,100.0,SW
